popul;density;city;n_religion;religion;l_exp_fem;l_exp_m;literacy;p_growth;child_death;gnp;region;calory;spid;lev_birth;lev_death;lev_spid;log_gnp;lg_lev_spid;birth_to_death;children;log_popul;harvest;literacy_male;literacy_fem;climate;filter
10300;50;65;3;Orthodox;76;66;99;0,32;19;6500;2; ;10;13;11;0,097087379;3,812913357;0,62723828;1,181818182;1,88;4,012837225;29;100;100;8;1
10100;329;96;2;Catholic;79;73;99;0,2;7,2;17912;1; ;1603;12;11;15,87128713;4,253144081;1,738290792;1,090909091;1,7;4,004321374;24; ; ;8;1
8900;79;68;3;Orthodox;75;69;93;-0,2;12;3831;2; ;24;13;12;0,269662921;3,583312152;0,769421375;1,083333333;1,8;3,949390007;34; ; ;8;1
7900;6,9;51;2;Catholic;64;59;78;2,7;75;730;6;1916;87;34;9;1,101265823;2,86332286;1,019479347;3,777777778;4,21;3,897627091;3;85;71;4;0
4600;87;36;1;Muslim;78;72;86;0,7;12,7;3098;2; ; ;14;6,39; ;3,491081413; ;2,190923318; ;3,662757832;20; ; ;8;1
1359;2,4;25;5;Tribal;66;60;72;2,7;39,3;2677;4;2375;1415;32;8;101,0714286;3,427648371;2,517246124;4;5,1;3,133219457;2;32;16;4;0
156600;18;75;2;Catholic;67;57;81;1,28;66;2354;6;2751;49312;21;9;31,48914432;3,371806459;1,993573132;2,333333333;2,7;5,194791758;7;82;80;5;1
10000;36;15;6;Animist;50;47;18;2,81;118;357;4;2288;4193;47;18;41,93;2,552668216;2,111081367;2,611111111;6,94;4;10;28;9;5;1
6000;216;5;2;Catholic;50;46;50;2,26;105;208;4;1932;7225;44;21;120,4166667;2,318063335;2,606977724;2,095238095;6,8;3,77815125;43;61;40;8;1
10500;111;64;2;Catholic;76;67;99;-0,3;12,5;5249;2;3644;149;12;13;1,419047619;3,720076573;1,072505169;0,923076923;1,8;4,021189299;51;99;98;8;1
20600;22;91;2;Catholic;76;70;88;2,16;28;2829;6;2582;3511;26;5;16,48356808;3,451632947;1,751500418;5,2;3,05;4,31386722;3;90;87;5;1
73100;218;20;7;Buddhist;68;63;88;1,78;46;230;3;2233;107;27;8;0,146374829;2,361727836;0,680915594;3,375;3,33;4,863917377;22;93;83;5;1
1300;4,2;46;2;Catholic;58;52;61;1,46;94;4283;4;2383;472;28;14;36,30769231;3,631748074;2,0511609;2;3,97;3,113943352;1;74;48;5;1
6500;231;29;2;Catholic;47;43;53;1,63;109;383;6;2013;4987;40;19;71,24285714;2,583198774;2,347190105;2,105263158;5,94;3,812913357;20;59;47;5;1
959;86;23;1;Muslim;52;48;27;3,1;124;351;4; ;277;46;16;25,18181818;2,545307116;1,90641487;2,875;6,29;2,981818607;16;39;16;5;1
10300;97;39;2;Catholic;67;62;55;2,58;57;1342;6;2235;499;35;8;4,844660194;3,127752516;1,371048015;4,375;4,76;4,012837225;12;63;47;5;1
81200;227;85;4;Protstnt;79;73;99;0,36;6,5;17539;1;3443;11179;11;11;13,76724138;4,244004828;1,689543529;1;1,47;4,909556029;34; ; ;8;1
15400;366;89;2;Catholic;81;75;99;0,58;6,3;17245;1;3151;3055;13;9;19,83766234;4,236663199;1,817599099;1,444444444;1,58;4,187520721;26; ; ;8;1
5600;46;44;2;Catholic;70;65;73;2,73;45;1030;6;2247;3473;35;6;62,01785714;3,012837225;2,282986541;5,833333333;4,9;3,748188027;14;76;71;4;0
5800;5494;94;7;Buddhist;80;75;77;-0,09;5,8;14641;3; ;99;13;6;1,706896552;4,165570741;1,112862326;2,166666667;1,4;3,763427994;7;90;64;5;1
10400;80;63;3;Orthodox;80;75;93;0,84;8,2;8060;1;3825;916;10;10;8,807692308;3,906335042;1,545156335;1;1,5;4,017033339;23;98;89;8;1
5500;81;56;3;Orthodox;76;69;99;0,8;23;4500;2; ;2;16;9;0,036363636;3,653212514;0,515387002;1,777777778;2,18;3,740362689; ;100;100;6;0
5200;120;85;4;Protstnt;79;73;99;0,1;6,6;18277;1;3628;1411;12;12;27,13461538;4,261904912;1,935105886;1;1,7;3,716003344;61; ; ;8;1
7800;159;60;2;Catholic;70;66;83;1,8;51,5;1034;6;2359;2353;25;6;30,16666667;3,014520539;1,97653935;4,166666667;2,8;3,892094603;23;85;82;5;1
60000;57;44;1;Muslim;63;60;48;1,95;76,4;748;5;3336;91;29;9;0,151666667;2,873901598;0,685769283;3,222222222;3,77;4,77815125;3;63;34;1;0
9100;11;42;4;Protstnt;45;44;73;2,8;85;573;4;2077;29734;46;18;326,7472527;2,758154622;3,183042145;2,555555556;6,68;3,959041392;7;81;65;5;1
5400;238;92;9;Jewish;80;76;92;2,22;8,6;13066;5; ;279;21;7;5,166666667;4,116142654;1,388807614;3;2,83;3,73239376;17;95;89;8;1
911600;283;26;10;Hindu;59;58;52;1,9;79;275;3;2229;713;29;10;0,078214129;2,439332694;0,600699185;2,9;4,48;5,959804317;55;64;39;6;0
199700;102;29;1;Muslim;65;61;77;1,6;68;681;3;2750;49;24;9;0,024536805;2,833147112;0,47639106;2,666666667;2,8;5,300378065;8;84;68;5;1
3961;42;68;1;Muslim;74;70;80;3,3;34;1157;5;2634;31;39;5;0,704545455;3,063333359;0,932356072;7,8;5,64;3,597804842;4;89;70;2;0
19900;44;72;1;Muslim;68;65;60;3,7;67;1955;5;2887;26;44;7;0,130653266;3,291146762;0,665616462;6,285714286;6,71;4,298853076;12;70;49;1;0
65600;39;57;1;Muslim;67;65;54;3,46;60;1500;5;3181;92;42;8;0,14556962;3,176091259;0,680164796;5,25;6,33;4,816903839;8;64;43;2;0
3600;51;57;2;Catholic;78;73;98;0,3;7,4;12170;1;3778;392;14;9;10,88888889;4,085290578;1,612117577;1,555555556;1,99;3,556302501;14; ; ;8;1
263;2,5;91;4;Protstnt;81;76;100;1,1;4;17241;1; ;31;16;7;10,33333333;4,236562452;1,595321021;2,285714286;2,11;2,419955748;1; ; ;8;1
39200;77;78;2;Catholic;81;74;95;0,25;6,9;13047;1;3572;24202;11;9;61,73979592;4,115510662;2,280935675;1,222222222;1,4;4,593286067;31;97;93;8;1
58100;188;69;2;Catholic;81;74;97;0,21;7,6;17500;1;3504;21770;11;10;38,05944056;4,243038049;2,070582218;1,1;1,3;4,764176132;32;98;96;6;0
10000;55;12;7;Buddhist;52;50;35;2,9;112;260;3;2166;0;45;16;0;2,414973348;0;2,8125;5,81;4;16;48;22;5;1
13100;27;40;6;Animist;58;55;54;2,9;77;993;4;2217;3072;41;12;23,45038168;2,996949248;1,879446567;3,416666667;5,7;4,117271296;13;66;45;4;0
29100;2,8;77;2;Catholic;81;74;97;0,7;6,8;19904; ;3482;9511;14;8;32,6838488;4,298940363;2,008475963;1,75;1,8;4,463892989;5; ; ;9;0
28200;49;24;2;Catholic;55;51;69;3,07;74;323;4;2163;30126;42;11;111,5777778;2,509202522;2,567530087;3,818181818;5,91;4,450249108;3;80;58;4;0
1205200;124;26;8;Taoist;69;67;78;1,1;52;377;3;2639;38;21;7;0,003153004;2,57634135;0,316042068;3;1,84;6,081059123;10;87;68;8;1
35600;31;70;2;Catholic;75;69;87;2;28;1538;6;2598;4583;24;6;12,87359551;3,186956335;1,667016782;4;2,47;4,551449998;4;88;86;5;1
3300;64;47;2;Catholic;79;76;93;2,3;11;2031;6;2808;587;26;4;17,78787879;3,307709923;1,778381092;6,5;3,1;3,51851394;6;93;93;5;1
11100;99;74;2;Catholic;78;74;94;0,95;10,2;1382;6; ;245;17;7;2,207207207;3,140508043;1,171571022;2,428571429;1,9;4,045322979;23;95;93;5;1
1800;97;96;1;Muslim;78;73;73;5,24;12,5;6818;5;3195;10;28;2;0,555555556;3,833656997;0,889089536;14;4;3,255272505;0;77;67;2;0
2700;40;71;4;Protstnt;75;64;99;0,5;21,5;7400;2; ;8;14;12;0,296296296;3,86923172;0,784052682;1,166666667;2;3,431363764;27;100;100;7;0
2900;29;45;6;Animist;57;54;40;3,3;113;409;4;2382;191;43;12;6,586206897;2,611723308;1,457897777;3,583333333;6,8;3,462397998;1;50;29;5;1
3620;343;84;1;Muslim;71;67;80;2;39,5;1429;5; ;72;27;7;2,482758621;3,155032229;1,199463121;3,857142857;3,39;3,558708571;21;88;73;6;0
5500;2,8;82;1;Muslim;65;62;64;3,7;63;5910;5;3324;10;45;8;0,181818182;3,771587481;0,711094733;5,625;6,4;3,740362689;2;75;50;6;0
3800;58;69;2;Catholic;77;68;99;0,3;17;6710;2; ;5;15;10;0,131578947;3,82672252;0,666556981;1,5;2;3,579783597;49;99;98;7;0
19500;58;43;1;Muslim;72;66;78;2,3;25,6;2995;3;2774;107;29;5;0,548717949;3,476396827;0,886890153;5,8;3,51;4,290034611;3;86;70;5;1
28600;63;46;1;Muslim;70;66;50;2,12;50;1062;4; ;196;29;6;0,685314685;3,026124517;0,927209788;4,833333333;3,83;4,456366033;18;61;38;6;0
91800;46;73;2;Catholic;77;69;87;1,9;35;3604;6;3052;18353;28;5;19,99237473;3,556784782;1,820425359;5,6;3,2;4,962842681;12;90;85;3;0
98100;102;35;1;Muslim;57;54;51;3,1;75;282;4;2312;1148;44;12;0,962279966;2,450249108;0,992339523;3,666666667;6,4;4,991669007;31;62;40;5;1
4100;33;60;2;Catholic;67;61;57;2,68;52,5;447;6;2265;66;35;7;1,534883721;2,650307523;1,089469549;5;4,33;3,612783857;9;57;57;5;1
3524;13;84;4;Protstnt;80;73;99;0,57;8,9;14381;1;3362;431;16;8;12,23041998;4,157789086;1,65001645;2;2,03;3,5470359;2; ; ;8;1
4300;11;75;4;Protstnt;81;74;99;0,4;6,3;17755;1;3326;375;13;10;8,720930233;4,249320677;1,54210009;1,3;2;3,633468456;3; ; ;8;1
2800;32;81;1;Muslim;74;70;68;4,8;22;14193;5; ;8;28;3;0,470588235;4,152074203;0,860058937;9,333333333;4,5;3,447158031;0;70;63;1;0
1900;7,8;11;1;Muslim;70;66; ;3,46;36,7;7467;5; ;33;40;5;1,736842105;3,873146151;1,116739989;8;6,53;3,278753601;2; ; ;1;0
128100;143;32;1;Muslim;58;57;35;2,8;101;406;3; ;41;42;10;0,032006245;2,608526034;0,502396894;4,2;6,43;5,10754913;26;47;21;8;1
2600;34;53;2;Catholic;78;71;88;1,94;16,5;2397;6;2539;644;25;5;24,76923077;3,379668034;1,900126452;5;2,9;3,414973348;6;88;88;5;1
5200;11;48;2;Catholic;75;72;90;2,7;25,2;1500;6;2757;77;33;4,5;1,604166667;3,176091259;1,099132115;7,333333333;4,3;3,716003344;20;92;88;6;0
23650;18;70;2;Catholic;67;63;85;2;54;1107;6;2186;1068;26;7;4,663755459;3,044147621;1,360652281;3,714285714;3,11;4,373831145;3;92;79;3;0
38600;123;62;2;Catholic;77;69;99;0,3;13,8;4429;2; ;201;14;10;0,520725389;3,64630568;0,877650795;1,4;1,94;4,586587305;46;99;98;8;1
10500;108;34;2;Catholic;78;71;85;0,36;9,2;9000;1; ;1811;12;10;18,29292929;3,954242509;1,788367015;1,2;1,5;4,021189299;32;89;82;7;0
149200;8,8;74;3;Orthodox;74;64;99;0,2;27;6680;2; ;136;13;11;0,091152815;3,824776462;0,619375492;1,181818182;1,83;5,173768823;8;100;100;9;0
8400;311;6;2;Catholic;46;43;50;2,8;117;292;4;1971;10706;49;21;137,2564103;2,465382851;2,676125814;2,333333333;8,19;3,924279286;29;64;37;8;1
23400;96;54;3;Orthodox;75;69;96;0,06;20,3;2702;2;3155;2736;14;10;11,69230769;3,431685345;1,635234522;1,4;1,82;4,369215857;43; ; ;8;1
5800;246;44;2;Catholic;69;64;73;2,04;41;1078;6;2317;530;33;7;9,636363636;3,032618761;1,573195285;4,714285714;3,78;3,763427994;27;76;70;5;1
18000;7,7;77;1;Muslim;70;66;62;3,2;52;6651;5;2874;61;38;6;0,338888889;3,822886948;0,805399705;6,333333333;6,67;4,255272505;1;73;48;1;0
23100;189;60;7;Buddhist;73;67;99;1,83;27,7;1000;3; ;0;24;5,5;0;3;0;4,363636364;2,4;4,36361198;18;99;99;8;1
8700;43;40;1;Muslim;58;55;38;3,1;76;744;4;2369;911;43;12;11,1097561;2,871572936;1,618605102;3,583333333;6,1;3,939519253;27;52;25;5;1
2900;4456;100;8;Taoist;79;73;88;1,2;5,7;14990;3;3198;75;16;6;2,586206897;4,175801633;1,209296102;2,666666667;1,88;3,462397998;4;93;84;5;1
14900;74;50;1;Muslim;68;65;64;3,7;43;2436;5; ;26;44;6;0,185714286;3,386677284;0,714116491;7,333333333;6,65;4,173186268;28;78;51;1;0
6667;10;24;1;Muslim;55;54;24;3,2;126;2126;4;1906;13;46;13;0,132653061;3,32756326;0,667641702;3,538461538;7,25;3,823930455;2;36;14;1;0
260800;26;75;4;Protstnt;79;73;97;0,99;8,11;23474; ;3671;411907;15;9;157,9398006;4,3705871;2,752316141;1,666666667;2,06;5,416307587;20;97;97;8;1
20944;582;71;7;Buddhist;78;72;91;0,92;5,1;7055;3; ; ;15,6; ; ;3,848497018; ; ; ;4,321059629; ; ; ; ; 
59400;115;22;7;Buddhist;72;65;93;1,4;37;1800;3;2316;5654;19;6;9,518518519;3,255272505;1,569328536;3,166666667;2,1;4,773786445;34;96;90;5;1
29800;29;21;6;Animist;45;41;46;2,5;110;263;4;2206;38719;46;19;129,9295302;2,419955748;2,646924621;2,421052632;6,2;4,474216264;5;62;31;6;0
62200;79;61;1;Muslim;73;69;81;2,02;49;3721;5;3236;130;26;6;0,210355987;3,57065967;0,732134674;4,333333333;3,21;4,793790385;30;90;71;8;1
19800;76;11;2;Catholic;43;41;48;2,42;112;325;4;2153;43875;49;24;221,5909091;2,511883361;2,945170134;2,041666667;6,77;4,29666519;23;62;35;5;1
22600;50;41;1;Muslim;72;65;97;2,13;53;1350;5; ;2;30;7;0,009049774;3,130333768;0,390236191;4,285714286;3,73;4,354108439;10;100;100;2;0
51800;87;67;3;Orthodox;75;65;97;0,05;20,7;2340;2; ;27;12;13;0,051724138;3,369215857;0,553017217;0,923076923;1,82;4,71432976;56;100;100;8;1
3200;18;89;2;Catholic;77;71;96;0,8;17;3131;6;2653;469;17;10;14,65625;3,495683068;1,710821001;1,7;2,44;3,505149978;8;97;96;8;1
69800;221;43;2;Catholic;68;63;90;1,92;51;867;3;2375;136;27;7;0,197962154;2,938019097;0,723296618;3,857142857;3,35;4,843855423;26;90;90;5;1
5100;39;60;4;Protstnt;80;72;100;0,3;5,3;15877;1;3253;158;13;10;3,098039216;4,200768445;1,25376858;1,3;1,8;3,707570176;8; ; ;9;0
58000;105;73;2;Catholic;82;74;99;0,47;6,7;18944;1;3465;30003;13;9,3;51,72931034;4,277471685;2,201645225;1,397849462;1,8;4,763427994;32; ; ;8;1
4900;85;51;2;Catholic;77;70;97;-0,1;8,7;5487;2; ;56;11;11;1,142857143;3,73933496;1,027066087;1;1,65;3,69019608;32; ; ;6;0
3300;5;47;4;Protstnt;44;41;27;2,4;137;457;4;2036;3730;44;21;113,030303;2,6599162;2,574180395;2,1;5,42;3,51851394;3;33;15;5;1
10400;132; ;2;Catholic;77;69; ;0,21;9,3;7311;2;3632;48;13;11,1;0,461538462;3,863976784;0,856725275;1,171171171;1,84;4,017033339; ; ; ;8;1
14000;18;85;2;Catholic;78;71;93;1,7;14,6;2591;6;2581;831;23;6;5,935714286;3,413467413;1,427889492;3,833333333;2,5;4,146128036;7;94;93;8;1
7000;170;62;2;Catholic;82;75;99;0,7;6,2;22384;1;3562;3662;12;9;52,31428571;4,349937697;2,206602267;1,333333333;1,6;3,84509804;10; ; ;8;1
8800;19;84;4;Protstnt;81;75;99;0,52;5,7;16900;1;2960;1001;14;11;11,375;4,227886705;1,626261127;1,272727273;2,1;3,944482672;7; ; ;9;0
10700;39;56;2;Catholic;73;67;88;2,01;39;1085;6;2531;381;26;6;3,371681416;3,035429738;1,275173581;4,333333333;3,08;4,029383778;6;90;86;5;1
1600;36;72;4;Protstnt;76;67;99;0,52;19;6000;2; ;3;14;12;0,1875;3,77815125;0,715484541;1,166666667;2;3,204119983;22;100;100;7;0
55200;47;12;1;Muslim;54;51;24;3,1;110;122;4;1667;12958;45;14;23,47463768;2,086359831;1,879835209;3,214285714;6,81;4,741939078;12;32;16;5;1
43900;35;49; ; ;68;62;76;2,6;47,1;3128;4; ;3210;34;8;7,791262136;3,495266744;1,507723012;4,25;4,37;4,64246452;10; ; ;2;0
45000;447;72;4;Protstnt;74;68;96;1;21,7;6627;3; ;19;16;6;0,042696629;3,821316971;0,532204715;2,666666667;1,65;4,653212514;21;99;99;8;1
125500;330;77;7;Buddhist;82;76;99;0,3;4,4;19860;3;2956;713;11;7;0,56812749;4,297979244;0,893077526;1,571428571;1,55;5,098643726;13; ; ;6;0
